category,artifact,path,exists,size_bytes,expected_for_review,status,handoff_action,note
paper,manuscript_source,paper\ieee_submission.tex,True,71943,True,present,Include or cite in the review-facing revision package.,LaTeX manuscript source.
paper,compiled_pdf,paper\ieee_submission.pdf,True,3948599,True,present,Include or cite in the review-facing revision package.,Locally compiled clean manuscript PDF.
paper,response_draft,paper\response_to_reviewers_draft.md,True,17205,True,present,Include or cite in the review-facing revision package.,Draft response mapped to reviewer comments.
paper,handoff_notes,paper\revision_handoff_notes.md,True,10983,True,present,Include or cite in the review-facing revision package.,Current revision handoff notes.
paper,artifact_manifest,results\revision_artifact_manifest.csv,True,5074,True,present,Include or cite in the review-facing revision package.,Machine-readable artifact-to-generator manifest.
paper,reviewer_response_matrix,results\reviewer_response_matrix.csv,True,20073,True,present,Include or cite in the review-facing revision package.,One-row-per-comment response coverage matrix.
paper,reviewer_response_traceability,results\reviewer_response_traceability.csv,True,7224,True,present,Include or cite in the review-facing revision package.,Response-matrix artifact and manuscript-label traceability audit.
model,yellow_profit_model,models\yellow\profit_model_v2.pkl,False,0,False,missing_regeneration_artifact,Does not block the current reviewer evidence package; regenerate or publish as a release asset before claiming full raw rerun support.,Needed to rerun full warm-up dispatch from scratch.
model,legacy_yellow_profit_model,models\profit_model_v2.pkl,False,0,False,missing_regeneration_artifact,Does not block the current reviewer evidence package; regenerate or publish as a release asset before claiming full raw rerun support.,Legacy fallback model path used by some older scripts.
dataset,yellow_training_dataset,data\ml\yellow\training_dataset_v2.parquet,False,0,False,missing_regeneration_artifact,Does not block the current reviewer evidence package; regenerate or publish as a release asset before claiming full raw rerun support.,Needed to retrain the Yellow model.
dataset,legacy_training_dataset,data\ml\training_dataset_v2.parquet,False,0,False,missing_regeneration_artifact,Does not block the current reviewer evidence package; regenerate or publish as a release asset before claiming full raw rerun support.,Legacy fallback training dataset path.
dispatch,raw_dispatch_outcomes,results\dispatch\yellow\primary_dispatch_d10_w5_det4\dispatch_outcomes.csv,False,0,False,missing_regeneration_artifact,Does not block the current reviewer evidence package; regenerate or publish as a release asset before claiming full raw rerun support.,Needed for fresh driver-level dispatch bootstrap tests.
dispatch,primary_dispatch_summary,results\dispatch_yellow_primary.csv,True,1126,True,present,Include or cite in the review-facing revision package.,Checked-in primary dispatch summary.
reviewer,path_buffer_comparison,results\path_buffer_baseline_comparison.csv,True,1166,True,present,Include or cite in the review-facing revision package.,1000-driver path-buffer comparator.
reviewer,route_overlap,results\route_alternative_overlap_summary.csv,True,9447,True,present,Include or cite in the review-facing revision package.,OSRM route/candidate-pool overlap evidence.
reviewer,eligibility_ablation,results\eligibility_rule_ablation.csv,True,15034,True,present,Include or cite in the review-facing revision package.,Pickup/dropoff/feasibility ablation.
reviewer,runtime_profile,results\end_to_end_runtime_profile.csv,True,477,True,present,Include or cite in the review-facing revision package.,Cached end-to-end runtime profile.
reviewer,runtime_resource_summary,results\runtime_resource_summary.csv,True,505,True,present,Include or cite in the review-facing revision package.,Route-cache storage and single-lookup memory-footprint summary.
reviewer,validation_heuristic,results\validation_heuristic_selection.csv,True,1134,True,present,Include or cite in the review-facing revision package.,March validation-selected heuristic evidence.
reviewer,retained_density_sensitivity,results\retained_density_sensitivity.csv,True,2280,True,present,Include or cite in the review-facing revision package.,Dispatch density sensitivity over the fixed retained rider sample.
reviewer,dispatch_corridor_sensitivity,results\dispatch_corridor_sensitivity.csv,True,4273,True,present,Include or cite in the review-facing revision package.,Dispatch-level corridor sensitivity diagnostic.
reviewer,dispatch_policy_gap_summary,results\dispatch_policy_gap_summary.csv,True,4082,True,present,Include or cite in the review-facing revision package.,Seed-level dispatch policy-gap summary for uncertainty comments.
reviewer,dispatch_uncertainty_summary,results\dispatch_uncertainty_summary.csv,True,29834,True,present,Include or cite in the review-facing revision package.,Dispatch CI-width audit for reviewer uncertainty comments.
route_cache,yellow_route_cache_entries,data\route_cache_yellow.db,True,24231936,True,present,Include or cite in the review-facing revision package.,SQLite route cache entries=1000; 1000+ expected after path-buffer rerun.
