reviewer,comment,concern,evidence_type,response_summary,action_taken,referenced_artifacts,status
1,1,"The method may look like a straightforward integration of H3, OSRM, and gradient-boosted trees rather than a novel methodological advance.",new_table_or_reproducibility_artifact,"We agree that the novelty should not be framed as inventing H3, OSRM alternatives, or ML ranking. The revised paper positions the contribution as route-aware candidate construction with exact post-retrieval eligibility and dispatch-first evaluation.","Added Table `tab:prior_work_positioning`, rewrote the abstract/contributions, and clarified that ML is a residual scorer rather than the core novelty.",tab:prior_work_positioning,addressed
1,2,The ML gain over the strongest heuristic is small.,new_table_or_reproducibility_artifact,We agree and now make this the central interpretation rather than a weakness hidden in the results.,Reframed the conclusion and added/updated Table `tab:dispatch_policy_gap` plus Figures `fig:single_driver_gain_comp` and `fig:single_driver_residual`; ML adds a modest residual edge of $0.15/driver in the primary Yellow sparse dispatch scenario.,tab:dispatch_policy_gap; fig:single_driver_gain_comp; fig:single_driver_residual,addressed
1,3,Long taxi trips as drivers and short trips as riders are an imperfect proxy for ride-pooling.,new_experiment_or_diagnostic,"We agree. The revised manuscript limits the proxy claim to controlled route-aware candidate construction, not live pooled-demand behavior.","Added Table `tab:proxy_distribution`, `results/proxy_role_distribution_summary.csv`, `results/proxy_threshold_sensitivity.csv`, and stronger proxy-validity language.",tab:proxy_distribution; results/proxy_role_distribution_summary.csv; results/proxy_threshold_sensitivity.csv,addressed
1,4,The rolling-horizon simulator is simpler than production dispatch.,new_table_or_reproducibility_artifact,"We agree. The simulator is now described as a low-latency route-choice layer with rider exclusivity, not a production dispatch platform.","Expanded Algorithm `alg:dispatch`, the rolling-horizon description in `paper/ieee_submission.tex`, and the limitation section on repositioning, long-horizon assignment, and continued driver activity.",alg:dispatch; paper/ieee_submission.tex,addressed
1,5,Fixed scenario assumptions are not calibrated to real operations.,new_experiment_or_diagnostic,We agree and keep all financial quantities as scenario-profit values.,"Strengthened Table `tab:scenario_assumptions`, Table `tab:economics_sensitivity`, and limitation wording; reiterated that reported values are not calibrated platform margins or forecasts.",tab:scenario_assumptions; tab:economics_sensitivity,addressed
1,6,Baselines are too basic.,new_experiment_or_diagnostic,"We added a structured prior-work positioning table, reran the path-buffer comparator at the 1000-driver headline scale, and strengthened the heuristic baseline discussion. We also added cached-subset diagnostics for greedy nearest-route dispatch and single-rider batch bipartite assignment. Full RTV/global fleet optimization remains outside the current public-data scope.","Added Table `tab:prior_work_positioning`, path-buffer comparison text, `results/stronger_dispatch_baselines.csv`, and clearer scope boundaries.",tab:prior_work_positioning; results/stronger_dispatch_baselines.csv,addressed
1,7,2015 taxi data may not represent current ride-pooling markets.,new_table_or_reproducibility_artifact,"We agree. The data are used as a public reproducible benchmark with exact OD/time/fare fields, not as a claim about current market behavior.","Moderated proxy and conclusion language in `paper/ieee_submission.tex`, added the temporal split in Table `tab:data_split`, and tied current-market limitations to the external-data audit in Table `tab:external_data_audit`.",paper/ieee_submission.tex; tab:data_split; tab:external_data_audit,addressed
1,8,Evaluation is only NYC Yellow/Green.,manuscript_revision,"We audited major public external-city candidates. Chicago is promising but privacy-rounded; Porto lacks comparable economics; Washington DC is too coarse for exact-window matching; and the San Francisco, Los Angeles, Austin, Seattle, Toronto, Boston, Philadelphia, Dallas, and Houston portal audit did not find comparable official trip-level taxi/TNC OD data.","Added `tab:external_data_audit` and changed ""cross-domain"" claims to ""same-city service-type"" robustness.",tab:external_data_audit,addressed
1,9,Residual ML gain is too small to justify complexity.,manuscript_reframing_or_limitation,We agree that the paper should not claim ML dominance.,Reframed ML as optional residual ranking on top of route-aware retrieval; highlighted heuristic recovery and oracle headroom decomposition in Figures `fig:single_driver_gain_comp` and `fig:single_driver_residual`.,fig:single_driver_gain_comp; fig:single_driver_residual,addressed
1,10,Runtime excludes route retrieval and corridor construction.,new_table_or_reproducibility_artifact,"We added cached end-to-end profiling for route lookup, corridor construction, and candidate filtering/matching, a route-cache resource/memory-footprint summary, plus a tiny live public-OSRM latency probe. We explicitly state that public-server latency is not a production guarantee.","Added Table `tab:end_to_end_runtime`, `results/end_to_end_runtime_profile.csv`, `results/runtime_resource_summary.csv`, and `results/osrm_live_latency_probe.csv`.",tab:end_to_end_runtime; results/end_to_end_runtime_profile.csv; results/runtime_resource_summary.csv; results/osrm_live_latency_probe.csv,addressed
2,1,Placeholder IEEE metadata remains.,new_table_or_reproducibility_artifact,The current manuscript source does not include placeholder publication metadata or DOI fields.,Verified `paper/ieee_submission.tex` for placeholder publication and DOI strings and added this check to `scripts/validate_paper_consistency.py`.,paper/ieee_submission.tex; scripts/validate_paper_consistency.py,addressed
2,2,Abstract lacks a concise novelty statement.,manuscript_revision,We revised the abstract to emphasize route-aware candidate construction plus exact-time dispatch evaluation rather than tool combination.,Rewrote the abstract framing in `paper/ieee_submission.tex` to state the specific novelty as route-aware matching-ball retrieval plus exact-time dispatch evaluation over genuine OSRM alternatives.,paper/ieee_submission.tex,addressed
2,3,Alternative-route candidate-pool differences are asserted but not demonstrated early.,new_table_or_reproducibility_artifact,"We added route-cell overlap, candidate overlap, feasible-candidate overlap, and default-route comparison evidence.",Added route-alternative overlap paragraph and `results/route_alternative_overlap_summary.csv`.,results/route_alternative_overlap_summary.csv,addressed
2,4,Contributions are mainly system integration.,new_table_or_reproducibility_artifact,"We added an explicit comparison table against T-Share, shareability networks, dynamic assignment, rolling dispatch, path-buffer retrieval, and learning-based dispatch.",Added Table `tab:prior_work_positioning`.,tab:prior_work_positioning,addressed
2,5,Related work lacks direct technical comparison.,new_table_or_reproducibility_artifact,"We now explicitly state what is reused, what is contributed, and what is outside scope.",Added Table `tab:prior_work_positioning` and revised related-work transition.,tab:prior_work_positioning,addressed
2,6,"""Cross-domain robustness"" is overstated for Yellow/Green NYC.",new_table_or_reproducibility_artifact,We agree.,"Renamed this claim to ""same-city service-type robustness"" throughout `paper/ieee_submission.tex` and added Table `tab:external_data_audit`.",paper/ieee_submission.tex; tab:external_data_audit,addressed
2,7,Driver/rider thresholds need justification.,new_experiment_or_diagnostic,We added role distributions and threshold-sensitivity artifacts.,"Added Table `tab:proxy_distribution`, `results/proxy_role_distribution_summary.csv`, and `results/proxy_threshold_sensitivity.csv`.",tab:proxy_distribution; results/proxy_role_distribution_summary.csv; results/proxy_threshold_sensitivity.csv,addressed
2,8,25% rider pre-sampling needs justification and sensitivity.,new_experiment_or_diagnostic,"We clarify that 100% density means the full retained 25% sample and that density sweeps are fractions of that retained sample. We also added a retained-sample sensitivity artifact over 10%, 25%, and 100% of the retained rider pool, while explicitly noting that this does not replace a full raw-data rerun at different pre-sampling probabilities.",Revised retained-sample semantics and added proxy audit outputs plus `scripts/build_retained_density_sensitivity.py` and `results/retained_density_sensitivity.csv`.,scripts/build_retained_density_sensitivity.py; results/retained_density_sensitivity.csv,addressed
2,9,Economic assumptions need evidence/sensitivity.,new_experiment_or_diagnostic,We keep the assumptions as scenario values and avoid calibrated profitability claims.,Strengthened scenario-assumption language and limitation wording; added an economic sensitivity table from `results/economics_sensitivity.csv`.,results/economics_sensitivity.csv,addressed
2,10,"H3 resolution, densification, and k-ring choices need justification.",new_experiment_or_diagnostic,"Existing single-driver H3 sensitivity is retained, and we added a cached dispatch-level corridor diagnostic varying H3 resolution, k-ring width, and densification. The diagnostic recomputes rider H3 cells when route resolution changes and is labeled as a bounded sensitivity probe.","Added Table `tab:dispatch_corridor_sensitivity`, `scripts/run_dispatch_corridor_sensitivity.py`, and `results/dispatch_corridor_sensitivity.csv`.",tab:dispatch_corridor_sensitivity; scripts/run_dispatch_corridor_sensitivity.py; results/dispatch_corridor_sensitivity.csv,addressed
2,11,Pickup-and-drop-off eligibility may be too restrictive.,new_experiment_or_diagnostic,"We added an eligibility-rule ablation comparing pickup-only, drop-off-only, and pickup-and-drop-off retrieval.",Added Table `tab:eligibility_ablation` and `results/eligibility_rule_ablation.csv`.,tab:eligibility_ablation; results/eligibility_rule_ablation.csv,addressed
2,12,Directionality and detour are not operationally defined.,manuscript_revision,We added precise implementation details.,"Defined Shapely projection ordering, minimum downstream fraction, detour conversion, Manhattan factor, urban speed, and greedy multi-rider handling in Algorithm `alg:dispatch` and the matching-ball implementation text.",alg:dispatch,addressed
2,13,Greedy fare-based seat assignment may bias results.,new_table_or_reproducibility_artifact,We compared greedy assignment with exhaustive small-batch assignment on cached route cases.,Added greedy-vs-optimal paragraph and `results/greedy_vs_optimal_assignment.csv`.,results/greedy_vs_optimal_assignment.csv,addressed
2,14,Profit formula needs clarification.,new_table_or_reproducibility_artifact,The revised paper states the exact scenario-profit formula and what is excluded.,"Clarified scenario profit in the route-ranking formula and Table `tab:scenario_assumptions`, with limitations around original driver fare, behavioral acceptance, waiting, and opportunity costs.",tab:scenario_assumptions,addressed
2,15,Strongest heuristic selection may cause test-set selection bias.,new_table_or_reproducibility_artifact,"We added a March 2015 Yellow validation probe to pre-select the non-ML heuristic before April test interpretation. The validation probe selects fare-density. On the April primary dispatch test, feasible-rider count is stronger, so the revised paper reports feasible-count as a conservative upper heuristic benchmark and separately reports ML's gain over the validation-selected fare-density rule.","Added `scripts/run_validation_heuristic_selection.py`, `results/validation_heuristic_selection.csv`, and `results/validation_heuristic_selection_raw.csv`; revised the Route-Ranking Policies and Primary Yellow Sparse Dispatch sections.",scripts/run_validation_heuristic_selection.py; results/validation_heuristic_selection.csv; results/validation_heuristic_selection_raw.csv,addressed
2,16,Algorithm 1 is too high level.,manuscript_revision,"We expanded operational text around retrieval, cache usage, exact filtering, directionality, detour, tie-breaking, and seat assignment.",Added implementation details in Algorithm `alg:dispatch` and the matching-ball section.,alg:dispatch,addressed
2,17,Simulator lacks repositioning/global assignment; add stronger dispatch baselines.,new_experiment_or_diagnostic,"We agree that full global assignment is outside the current implementation. We added stronger scope boundaries, kept path-buffer as a bounded baseline, and added cached-subset greedy nearest-route and single-rider batch bipartite diagnostics.","Added `scripts/run_stronger_dispatch_baselines.py`, `results/stronger_dispatch_baselines.csv`, moderated operational claims, and clarified that the simulator is not a production dispatch optimizer.",scripts/run_stronger_dispatch_baselines.py; results/stronger_dispatch_baselines.csv,addressed
2,18,Dispatch experiment size/statistics need more evidence.,new_table_or_reproducibility_artifact,"We now add an explicit dispatch policy-gap summary for the 1000-driver, five-seed headline setup and state that the retained-sample seed intervals collapse to point estimates because the simulator is nearly deterministic. We also added a CI-width audit over the headline and density-sweep dispatch metrics to make that collapse explicit. We therefore present the gaps as repeat-run policy comparisons rather than overstated inferential confidence intervals.","Added `scripts/build_dispatch_policy_gap_summary.py`, `results/dispatch_policy_gap_summary.csv`, `scripts/build_dispatch_uncertainty_summary.py`, `results/dispatch_uncertainty_summary.csv`, and Table `tab:dispatch_policy_gap`; clarified the statistical interpretation in the primary dispatch section.",scripts/build_dispatch_policy_gap_summary.py; results/dispatch_policy_gap_summary.csv; scripts/build_dispatch_uncertainty_summary.py; results/dispatch_uncertainty_summary.csv; tab:dispatch_policy_gap,addressed
2,19,The 38 features are not listed.,new_table_or_reproducibility_artifact,We added a feature dictionary table with leakage status.,Added Table `tab:feature_dictionary` and `results/reviewer_feature_dictionary.csv`.,tab:feature_dictionary; results/reviewer_feature_dictionary.csv,addressed
2,20,Path-buffer baseline uses a smaller subset.,new_experiment_or_diagnostic,"We reran the path-buffer baseline at the same 1000-driver scale as the primary Yellow dispatch headline, using live-or-cached OSRM routes, the same 5-minute exact request window, and the same 4-minute detour rule. The path-buffer comparator improves over cold-start but remains weaker than the matching-ball heuristic in both dispatch and controlled single-driver settings.","Regenerated `results/path_buffer_single_driver_summary.csv`, `results/path_buffer_dispatch_summary.csv`, `results/path_buffer_baseline_comparison.csv`, and `results/path_buffer_baseline_config.json`; revised the path-buffer paragraph.",results/path_buffer_single_driver_summary.csv; results/path_buffer_dispatch_summary.csv; results/path_buffer_baseline_comparison.csv; results/path_buffer_baseline_config.json,addressed
2,21,Green is not a true public-domain shift.,new_table_or_reproducibility_artifact,We agree.,"Replaced ""public-domain/cross-domain"" wording with ""same-city service-type"" wording in `paper/ieee_submission.tex`, grounded the Green result in Table `tab:domain_transfer`, and added the scope boundary in Table `tab:external_data_audit`.",paper/ieee_submission.tex; tab:domain_transfer; tab:external_data_audit,addressed
