reviewer,comment,reference,reference_type,exists_or_resolves,resolved_target,note
1,1,tab:prior_work_positioning,manuscript_label,True,tab:prior_work_positioning,OK
1,2,tab:dispatch_policy_gap,manuscript_label,True,tab:dispatch_policy_gap,OK
1,2,fig:single_driver_gain_comp,manuscript_label,True,fig:single_driver_gain_comp,OK
1,2,fig:single_driver_residual,manuscript_label,True,fig:single_driver_residual,OK
1,3,tab:proxy_distribution,manuscript_label,True,tab:proxy_distribution,OK
1,3,results/proxy_role_distribution_summary.csv,file,True,results/proxy_role_distribution_summary.csv,OK
1,3,results/proxy_threshold_sensitivity.csv,file,True,results/proxy_threshold_sensitivity.csv,OK
1,4,alg:dispatch,manuscript_label,True,alg:dispatch,OK
1,4,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
1,5,tab:scenario_assumptions,manuscript_label,True,tab:scenario_assumptions,OK
1,5,tab:economics_sensitivity,manuscript_label,True,tab:economics_sensitivity,OK
1,6,tab:prior_work_positioning,manuscript_label,True,tab:prior_work_positioning,OK
1,6,results/stronger_dispatch_baselines.csv,file,True,results/stronger_dispatch_baselines.csv,OK
1,7,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
1,7,tab:data_split,manuscript_label,True,tab:data_split,OK
1,7,tab:external_data_audit,manuscript_label,True,tab:external_data_audit,OK
1,8,tab:external_data_audit,manuscript_label,True,tab:external_data_audit,OK
1,9,fig:single_driver_gain_comp,manuscript_label,True,fig:single_driver_gain_comp,OK
1,9,fig:single_driver_residual,manuscript_label,True,fig:single_driver_residual,OK
1,10,tab:end_to_end_runtime,manuscript_label,True,tab:end_to_end_runtime,OK
1,10,results/end_to_end_runtime_profile.csv,file,True,results/end_to_end_runtime_profile.csv,OK
1,10,results/runtime_resource_summary.csv,file,True,results/runtime_resource_summary.csv,OK
1,10,results/osrm_live_latency_probe.csv,file,True,results/osrm_live_latency_probe.csv,OK
2,1,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
2,1,scripts/validate_paper_consistency.py,file,True,scripts/validate_paper_consistency.py,OK
2,2,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
2,3,results/route_alternative_overlap_summary.csv,file,True,results/route_alternative_overlap_summary.csv,OK
2,4,tab:prior_work_positioning,manuscript_label,True,tab:prior_work_positioning,OK
2,5,tab:prior_work_positioning,manuscript_label,True,tab:prior_work_positioning,OK
2,6,paper/ieee_submission.tex,file,True,paper/ieee_submission.tex,OK
2,6,tab:external_data_audit,manuscript_label,True,tab:external_data_audit,OK
2,7,tab:proxy_distribution,manuscript_label,True,tab:proxy_distribution,OK
2,7,results/proxy_role_distribution_summary.csv,file,True,results/proxy_role_distribution_summary.csv,OK
2,7,results/proxy_threshold_sensitivity.csv,file,True,results/proxy_threshold_sensitivity.csv,OK
2,8,scripts/build_retained_density_sensitivity.py,file,True,scripts/build_retained_density_sensitivity.py,OK
2,8,results/retained_density_sensitivity.csv,file,True,results/retained_density_sensitivity.csv,OK
2,9,results/economics_sensitivity.csv,file,True,results/economics_sensitivity.csv,OK
2,10,tab:dispatch_corridor_sensitivity,manuscript_label,True,tab:dispatch_corridor_sensitivity,OK
2,10,scripts/run_dispatch_corridor_sensitivity.py,file,True,scripts/run_dispatch_corridor_sensitivity.py,OK
2,10,results/dispatch_corridor_sensitivity.csv,file,True,results/dispatch_corridor_sensitivity.csv,OK
2,11,tab:eligibility_ablation,manuscript_label,True,tab:eligibility_ablation,OK
2,11,results/eligibility_rule_ablation.csv,file,True,results/eligibility_rule_ablation.csv,OK
2,12,alg:dispatch,manuscript_label,True,alg:dispatch,OK
2,13,results/greedy_vs_optimal_assignment.csv,file,True,results/greedy_vs_optimal_assignment.csv,OK
2,14,tab:scenario_assumptions,manuscript_label,True,tab:scenario_assumptions,OK
2,15,scripts/run_validation_heuristic_selection.py,file,True,scripts/run_validation_heuristic_selection.py,OK
2,15,results/validation_heuristic_selection.csv,file,True,results/validation_heuristic_selection.csv,OK
2,15,results/validation_heuristic_selection_raw.csv,file,True,results/validation_heuristic_selection_raw.csv,OK
2,16,alg:dispatch,manuscript_label,True,alg:dispatch,OK
2,17,scripts/run_stronger_dispatch_baselines.py,file,True,scripts/run_stronger_dispatch_baselines.py,OK
2,17,results/stronger_dispatch_baselines.csv,file,True,results/stronger_dispatch_baselines.csv,OK
2,18,scripts/build_dispatch_policy_gap_summary.py,file,True,scripts/build_dispatch_policy_gap_summary.py,OK
2,18,results/dispatch_policy_gap_summary.csv,file,True,results/dispatch_policy_gap_summary.csv,OK
2,18,scripts/build_dispatch_uncertainty_summary.py,file,True,scripts/build_dispatch_uncertainty_summary.py,OK
2,18,results/dispatch_uncertainty_summary.csv,file,True,results/dispatch_uncertainty_summary.csv,OK
